Afgani|؋|AFN
Lek|L|ALL
Libra esterlina|£|GBP
Dinar|د.ج|DZD
Euro|€|EUR
Kuanza de Angola|Kz|AOA
Peso argentino|$|ARS
Dram armenio|֏|AMD
Florín arubano|ƒ|AWG
Dólar australiano|$|AUD
Euro|€|EUR
Manat azerbayano|₼|AZN
Dólar de las Bahamas|$|BSD
Dinar de Baréin|.د.ب|BHD
Taka de Bangladés|৳|BDT
Dólar de las Barbados|$|BBD
Rublo bielorruso|Br|BYR
Euro|€|EUR
Dólar beliceño|$|BZD
Gultrum butanés|Nu.|BTN
Boliviano|Bs.|BOB
Marco convertible de Bosnia y Herzegovina|KM|BAM
Pula de Botsuana|P|BWP
Real brasileño|R$|BRL
Dólar de Brunei|$|BND
Leva búlgaro|лв|BGN
Franco CFA|Fr|XOF
Kiat de Birmania|K|MMK
Franco burundés|Fr|BIF
Riel camboyano|៛|KHR
Dólar canadiense|$|CAD
Escudo de Cabo Verde|$|CVE
Dólar de las Islas Caimán|$|KYD
Franco CFA|Fr|XAF
Franco CFA|Fr|XAF
Peso chileno|$|CLP
"Yuan| renminbi"|"¥| 元"|CNY
Peso colombiano|$|COP
Franco comorano|Fr|KMF
Franco congoleño|Fr|CDF
Franco CFA|Fr|XAF
Colón costarricense|₡|CRC
Franco CFA|Fr|XOF
Kuna croata|kn|HRK
Peso cubano|$|CUP
Florín de las Antillas Neerlandesas|ƒ|ANG
Euro|€|EUR
Corona checa|Kč|CZK
Corona danesa|kr|DKK
Franco yibutiano|Fr|DJF
Peso dominicano|$|DOP
Dólar estadounidense|$|USD
Libra egipcia|"£| ج.م"|EGP
Colón salvadoreño|₡|SVC
Franco CFA|Fr|XAF
Nakfa de Eritrea|Nfk|ERN
Euro|€|EUR
Bir|Br|ETB
Euro|€|EUR
Euro|€|EUR
Franco CFP|Fr|XPF
Franco CFA|Fr|XAF
Dalasi gambiano|D|GMD
Lari georgiano|ლ|GEL
Euro|€|EUR
Cedi de Ghana|₵|GHS
Libra de Gibraltar|£|GIP
Euro|€|EUR
Quetzal|Q|GTQ
Franco guineano|Fr|GNF
Franco CFA|Fr|XOF
Gurde|G|HTG
Lempira|L|HNL
Forinto|Ft|HUF
Corona islandesa|kr|ISK
Rupia india|₹|INR
Rupia indonesia|Rp|IDR
Rial iraní|﷼|IRR
Dinar irakí|ع.د|IQD
Euro|€|EUR
Nuevo séquel|₪|ILS
Euro|€|EUR
Dólar jamaicano|$|JMD
Yen|¥|JPY
Dinar jordano|د.ا|JOD
Tengue kazajo|₸|KZT
Chelín keniano|Sh|KES
Won norcoreano|₩|KPW
Won surcoreano|₩|KRW
Dinar kuwaití|د.ك|KWD
Som kirguís|лв|KGS
Kip|₭|LAK
Lats|Ls|LVL
Libra libanesa|ل.ل|LBP
Loti de Lesoto|L|LSL
Dólar liberiano|$|LRD
Dinar libio|ل.د|LYD
Litas|Lt|LTL
Euro|€|EUR
Pataca de Macao|P|MOP
Denar|ден|MKD
Ariari|Ar|MGA
Kuacha de Malaui|MK|MWK
Ringit|RM|MYR
Rufiya|.ރ|MVR
Franco CFA|Fr|XOF
Euro|€|EUR
Uguiya|UM|MRO
Rupia de Mauricio|₨|MUR
Peso mexicano|$|MXN
Dólar micronesio|$|USD
Leu moldavo|L|MDL
Euro|€|EUR
Tugrik mongol|₮|MNT
Euro|€|EUR
Dírham|د.م.|MAD
Metical|MT|MZN
Dólar de Namibia|$|NAD
Dólar nauruano|$|USD
Rupia nepalí|₨|NPR
Euro|€|EUR
Franco CFP|Fr|XPF
Dólar de Nueva Zelanda|$|NZD
Córdoba nicaragüense|C$|NIO
Franco CFA|Fr|XOF
Naira nigeriano|₦|NGN
Corona noruega|kr|NOK
Rial de Omán|ر.ع.|OMR
Rupia pakistaní|₨|PKR
Balboa panameño|B/.|PAB
Kina|K|PGK
Guaraní paraguayo|₲|PYG
Sol|S/|PEN
Peso filipino|₱|PHP
Złóti|zł|PLN
Euro|€|EUR
Rial catarí|ر.ق|QAR
Leu rumano|L|RON
Rublo|₽|RUB
Franco ruandés|Fr|RWF
Dólar del Caribe Oriental|$|XCD
Dólar del Caribe Oriental|$|XCD
Dólar del Caribe Oriental|$|XCD
Tala|T|WST
Euro|€|EUR
Dobra|Db|STD
Rial saudí|ر.س|SAR
Franco CFA|Fr|XOF
Dinar serbio|дин|RSD
Rupia seychellense|₨|SCR
Leona|Le|SLL
Dólar singapurense|$|SGD
Euro|€|EUR
Euro|€|EUR
Dólar salomonense|$|SBD
Chelín somalí|Sh|SOS
Rand|R|ZAR
Euro|€|EUR
Libra sursudanesa|£|SSP
Rupia ceilandesa|Rs|LKR
Libra sudanesa|£|SDG
Dólar surinamés|$|SRD
Lilangeni|L|SZL
Corona sueca|kr|SEK
Franco suizo|Fr|CHF
Libra siria|ل.س|SYP
Nuevo dólar de Taiwán|$|TWD
Somoni|ЅМ|TJS
Chelín tanzaniano|Sh|TZS
Bat|฿|THB
Franco CFA|Fr|XOF
Paanga|T$|TOP
Dólar trinitense|$|TTD
Dinar tunecino|د.ت|TND
Lira turca|₺|TRY
Manat turcomano|m|TMT
Chelín ugandés|Sh|UGX
Grivna|₴|UAH
Dírham|د.إ|AED
Dólar estadounidense|$|USD
Peso uruguayo|$|UYU
Sum|лв|UZS
Vatu do Vanuatu|Vt|VUV
Euro|€|EUR
Bolívar fuerte|Bs F|VEF
Dong|₫|VND
Rial yemení|﷼|YER
Kuacha zambiano|ZK|ZMK
Dólar zimbabuense|$|ZWL
